Protein,p_ID
EGLN2,p001286
AMOTL2,p001287
TRAPPC2L,p001288
RTEL1,p001289
SCLY,p001290
ZNF581,p001291
GOLM1,p001292
EFEMP2,p001293
PTOV1,p001294
SURF2,p001295
TMED9,p001296
CDC42BPG,p001297
MED29,p001298
PPP1R12C,p001299
FTSJ3,p001300
FAM83E,p001301
C9orf167,p001302
EPS8L1,p001303
RNF43,p001304
LIME1,p001305
EXD3,p001306
SSH3,p001307
LAMTOR1,p001308
PIH1D1,p001309
ZCWPW1,p001310
CCDC94,p001311
SMG8,p001312
ARF,p001313
C7orf43,p001314
PRR11,p001315
RNF121,p001316
TBC1D2,p001317
RRN3,p001318
ABCA5,p001319
MYO5C,p001320
EXOSC4,p001321
TNXB,p001322
PPP1R37,p001323
KLK12,p001324
SLC2A4RG,p001325
SEMA4B,p001326
PPAN,p001327
YIF1A,p001328
ANKHD1-EIF4EBP3,p001329
ZNF512B,p001330
PRR12,p001331
ALPK3,p001332
ZNF687,p001333
COL20A1,p001334
CSH1,p001335
MYL6,p001336
HIST1H2BD,p001337
NMB,p001338
ADCY1,p001339
POLD4,p001340
CATSPERG,p001341
PRUNE,p001342
SCAF1,p001343
SNX6,p001344
C12orf10,p001345
TSKS,p001346
LMAN1L,p001347
PPP1R11,p001348
FBXW4,p001349
CERS2,p001350
GPSM3,p001351
PRSS22,p001352
XYLT2,p001353
GIGYF1,p001354
SMURF2,p001355
RMND5B,p001356
TUT1,p001357
DDRGK1,p001358
YIPF2,p001359
SLX1B,p001360
METTL16,p001361
TRAPPC6A,p001362
C9orf16,p001363
PPDPF,p001364
LENG1,p001365
C16orf53,p001366
BBS1,p001367
C11orf80,p001368
PRKRIP1,p001369
IPO4,p001370
IGFLR1,p001371
AAGAB,p001372
ELMO3,p001373
ZDHHC11,p001374
SNX22,p001375
ZNF672,p001376
MUS81,p001377
DNAJC5,p001378
ZBTB46,p001379
RNF39,p001380
LIMD2,p001381
SNX27,p001382
CDT1,p001383
TRIM56,p001384
MED25,p001385
SHARPIN,p001386
RAB1B,p001387
CABLES2,p001388
RNF208,p001389
FERMT3,p001390
CACNG8,p001391
FRMD8,p001392
FAM186B,p001393
RNASEH2C,p001394
CHD6,p001395
PCNXL3,p001396
MNF1,p001397
MXRA8,p001398
SYVN1,p001399
SPIRE2,p001400
C9orf24,p001401
ABHD1,p001402
PCGF1,p001403
SUV420H2,p001404
ZBTB45,p001405
SPPL2A,p001406
TMEM87B,p001407
CIRH1A,p001408
WDR73,p001409
RELT,p001410
PPP1R16A,p001411
TRIM4,p001412
GAL3ST3,p001413
RRP36,p001414
ZNF628,p001415
